,network,n_bins,estimator,accuracy,precision,recall,f1,time
0,network_1,3_bins,BayesianEstimator,0.834,0.323,0.327,0.317,163.835
1,network_1,3_bins,MaxLLEstimator,0.844,0.327,0.331,0.32,157.502
2,network_2,3_bins,BayesianEstimator,0.834,0.35,0.342,0.34,55.216
3,network_2,3_bins,MaxLLEstimator,0.831,0.347,0.341,0.338,50.628
4,network_3,3_bins,BayesianEstimator,0.834,0.35,0.342,0.34,24.398
5,network_3,3_bins,MaxLLEstimator,0.831,0.347,0.341,0.338,22.419
6,network_4,3_bins,BayesianEstimator,0.831,0.369,0.356,0.358,17.64
7,network_4,3_bins,MaxLLEstimator,0.827,0.365,0.355,0.357,17.591
8,naive_bayes,3_bins,BayesianEstimator,0.841,0.4,0.383,0.389,6.602
9,naive_bayes,3_bins,MaxLLEstimator,0.841,0.4,0.383,0.389,6.639
10,hcs_bic,3_bins,BayesianEstimator,0.858,0.397,0.359,0.361,6.737
11,hcs_bic,3_bins,MaxLLEstimator,0.858,0.397,0.359,0.361,6.69
12,hcs_bdeu,3_bins,BayesianEstimator,0.871,0.29,0.333,0.31,9.01
13,hcs_bdeu,3_bins,MaxLLEstimator,0.871,0.29,0.333,0.31,9.213
14,hcs_k2,3_bins,BayesianEstimator,0.864,0.416,0.362,0.365,17.02
15,hcs_k2,3_bins,MaxLLEstimator,0.875,0.462,0.365,0.371,17.894
16,pc,3_bins,BayesianEstimator,0.871,0.29,0.333,0.31,13.444
17,pc,3_bins,MaxLLEstimator,0.871,0.29,0.333,0.31,13.356
18,hcs_network_1,3_bins,BayesianEstimator,0.871,0.29,0.333,0.31,18.502
19,hcs_network_1,3_bins,MaxLLEstimator,0.871,0.29,0.333,0.31,18.122
20,hcs_network_2,3_bins,BayesianEstimator,0.864,0.416,0.362,0.365,17.664
21,hcs_network_2,3_bins,MaxLLEstimator,0.875,0.462,0.365,0.371,18.134
22,hcs_network_3,3_bins,BayesianEstimator,0.864,0.416,0.362,0.365,18.032
23,hcs_network_3,3_bins,MaxLLEstimator,0.875,0.462,0.365,0.371,17.15
24,hcs_network_4,3_bins,BayesianEstimator,0.871,0.29,0.333,0.31,18.179
25,hcs_network_4,3_bins,MaxLLEstimator,0.871,0.29,0.333,0.31,18.14
26,hcs_naive_bayes,3_bins,BayesianEstimator,0.864,0.416,0.362,0.365,17.92
27,hcs_naive_bayes,3_bins,MaxLLEstimator,0.875,0.462,0.365,0.371,16.703
28,hcs_pc,3_bins,BayesianEstimator,0.871,0.29,0.333,0.31,12.348
29,hcs_pc,3_bins,MaxLLEstimator,0.871,0.29,0.333,0.31,12.165
30,network_1,6_bins,BayesianEstimator,0.834,0.323,0.327,0.317,167.8
31,network_1,6_bins,MaxLLEstimator,0.844,0.327,0.331,0.32,157.936
32,network_2,6_bins,BayesianEstimator,0.834,0.35,0.342,0.34,51.019
33,network_2,6_bins,MaxLLEstimator,0.831,0.347,0.341,0.338,50.238
34,network_3,6_bins,BayesianEstimator,0.834,0.35,0.342,0.34,22.697
35,network_3,6_bins,MaxLLEstimator,0.831,0.347,0.341,0.338,23.062
36,network_4,6_bins,BayesianEstimator,0.831,0.369,0.356,0.358,17.59
37,network_4,6_bins,MaxLLEstimator,0.827,0.365,0.355,0.357,18.754
